"primary_spa_name","primary_spa_city","competitor_rank","competitor_name","competitor_review_count","competitor_star_rating","competitor_distance_miles","competitor_gbp_url"
"Modern Medical Spa","Dallas","1","NakedMD Med Spa Dallas","582","4.9","3.03","https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Dallas&query_place_id=ChIJj2R7CNAhTIYR-jVvd4jqwYQ"
"Modern Medical Spa","Dallas","2","OMNI SCULPT MD: Med Spa","463","5.0","4.03","https://www.google.com/maps/search/?api=1&query=OMNI%20SCULPT%20MD%3A%20Med%20Spa&query_place_id=ChIJeXuQkfShToYRv2GPVWSAB98"
"Modern Medical Spa","Dallas","3","SkinSpaMED","421","4.9","0.13","https://www.google.com/maps/search/?api=1&query=SkinSpaMED&query_place_id=ChIJw2ZFgt4gTIYRESSpN1nY-2I"
"Skin Spa New York North Station","Boston","1","Skin Spa New York - Back Bay","381","4.8","1.64","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20New%20York%20-%20Back%20Bay&query_place_id=ChIJo9Y9lw9644kRR5soqeEBYyk"
"Skin Spa New York North Station","Boston","2","Restore Hyper Wellness","188","4.9","2.13","https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJ_3lfJtlw44kRhQUM0cH7zqc"
"Skin Spa New York North Station","Boston","3","Skin Laundry - Arsenal Yards","174","4.7","5.06","https://www.google.com/maps/search/?api=1&query=Skin%20Laundry%20-%20Arsenal%20Yards&query_place_id=ChIJqZGGMTF544kRTKEh3BLF8ks"
"Rejuve Med Spa","Dallas","1","Metamorph Med Spa","467","5.0","0.87","https://www.google.com/maps/search/?api=1&query=Metamorph%20Med%20Spa&query_place_id=ChIJXSQ8-eIjTIYRAIZoiBgLKsw"
"Rejuve Med Spa","Dallas","2","Uplift Medspa Health & Wellness","144","5.0","1.07","https://www.google.com/maps/search/?api=1&query=Uplift%20Medspa%20Health%20%26%20Wellness&query_place_id=ChIJOaosxx0hTIYRwgghz8vKkVQ"
"Rejuve Med Spa","Dallas","3","Princess Med Spa","121","4.9","1.03","https://www.google.com/maps/search/?api=1&query=Princess%20Med%20Spa&query_place_id=ChIJ__8vCLEjTIYR5iIUmzBxEFY"
"Mara's Med Spa","Dallas","1","It's A Secret Med Spa","574","4.6","1.05","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8"
"Mara's Med Spa","Dallas","2","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.8","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"Mara's Med Spa","Dallas","3","SkinSpirit West Village Dallas","150","4.9","1.01","https://www.google.com/maps/search/?api=1&query=SkinSpirit%20West%20Village%20Dallas&query_place_id=ChIJyVE92lOfToYRq1HCZBLZF0M"
"InjectCo MedSpa Dallas","Dallas","1","UPKEEP Med Spa","887","4.9","0.7","https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg"
"InjectCo MedSpa Dallas","Dallas","2","It's A Secret Med Spa","574","4.6","0.43","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8"
"InjectCo MedSpa Dallas","Dallas","3","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.64","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"CULT Aesthetics","Dallas","1","ZO Skin Centre","486","4.9","0.75","https://www.google.com/maps/search/?api=1&query=ZO%20Skin%20Centre&query_place_id=ChIJA3qOWNueToYRuvNFDhfiYsg"
"CULT Aesthetics","Dallas","2","Total Med Solutions","343","4.8","0.89","https://www.google.com/maps/search/?api=1&query=Total%20Med%20Solutions&query_place_id=ChIJqacCkQWfToYR4EUy8H6hEBk"
"CULT Aesthetics","Dallas","3","OVME","250","4.8","0.82","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJW8NOn-mfToYRou8QHdl_Iu8"
"Dallas Aesthetic Studio","Dallas","1","Mara's Med Spa","603","4.8","1.04","https://www.google.com/maps/search/?api=1&query=Mara's%20Med%20Spa&query_place_id=ChIJVTgC-i-ZToYRnhM8bs_V0V8"
"Dallas Aesthetic Studio","Dallas","2","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","1.83","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"Dallas Aesthetic Studio","Dallas","3","Calypso Aesthetic Lab","203","5.0","1.35","https://www.google.com/maps/search/?api=1&query=Calypso%20Aesthetic%20Lab&query_place_id=ChIJTTvaCtqdToYRYdiL9GnoJuk"
"VIV Wellness","Dallas","1","Mara's Med Spa","603","4.8","0.59","https://www.google.com/maps/search/?api=1&query=Mara's%20Med%20Spa&query_place_id=ChIJVTgC-i-ZToYRnhM8bs_V0V8"
"VIV Wellness","Dallas","2","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","1.36","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"VIV Wellness","Dallas","3","SkinSpirit West Village Dallas","150","4.9","1.56","https://www.google.com/maps/search/?api=1&query=SkinSpirit%20West%20Village%20Dallas&query_place_id=ChIJyVE92lOfToYRq1HCZBLZF0M"
"Ember Medical Spa","Dallas","1","UPKEEP Med Spa","887","4.9","2.01","https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg"
"Ember Medical Spa","Dallas","2","ZO Skin Centre","486","4.9","2.0","https://www.google.com/maps/search/?api=1&query=ZO%20Skin%20Centre&query_place_id=ChIJA3qOWNueToYRuvNFDhfiYsg"
"Ember Medical Spa","Dallas","3","Sanjiva Medical Spa","246","5.0","1.73","https://www.google.com/maps/search/?api=1&query=Sanjiva%20Medical%20Spa&query_place_id=ChIJNRZQOFefToYRoAIyBbPcbXI"
